,,,,,,,,,,,,,,,,,
,Name,Base_price,Body_style,Seats,Base_ Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
,2021 Honda Clarity,44505,Sedan,5,Hybrid,212,2.1,FWD,0,439,39.1,42.2,36.2,57.3,27,17,475
,2021 Honda Insight,28490,Sedan,5,Hybrid,151,4.9,FWD,0,428,39.1,42.2,36.2,57.3,40,1.2,819
,2021 Honda Passport,45570,SUV,5,Gasoline,280,11.3,AWD,5000,1430,39.5,40.9,39.6,61.9,74,0,653
,2022 Honda Ridgeline,45535,Pickup,5,Gasoline,280,11.5,AWD,5000,0,39.5,40.9,36.7,61.5,74,0,643
,2022 Hyundai Kona,21499,SUV,5,Gasoline,147,7.4,FWD,1100,544,39.6,41.5,35.2,54.5,50,0,678
,2022 Hyundai Tucson,27799,SUV,5,Gasoline,187,8.2,FWD,3500,1095,40.1,41.4,41.3,56.0,54,0,659
,2022 Hyundai Elantra,18099,Sedan,5,Gasoline,147,7.8,FWD,0,402,40.6,42.3,38,55.6,47,0,599
,2022 Hyundai Santa Fe,33699,SUV,5,Gasoline,191,10,AWD,2000,1032,40,41.4,41.7,58.3,67,0,669
,2022 Hyundai Venue,18299,SUV,5,Gasoline,121,7.8,FWD,1100,528,39.4,41.3,34.3,53.7,45,0,578
,2022 Hyundai Palisade,41499,SUV,8,Gasoline,291,11.1,AWD,5000,509,40.7,41.4,42.4,60.8,71,0,641
,2022 Hyundai Sonata,27449,Sedan,5,Gasoline,191,7.7,FWD,0,453,40,46.1,34.8,56.1,60,0,780
,2022 Hyundai Sonata N,38699,Sedan,5,Gasoline,290,808,FWD,0,453,38.4,46.1,34.8,56.1,60,0,684
,2022 Hyundai Elantra Hybrid,24999,Sedan,5,Hybrid,109,4.4,FWD,0,402,40.6,42.3,38,55.6,42,1.3,953
,2022 Hyundai Elantra N,37199,Sedan,5,Gasoline,286,9.5,FWD,0,402,38.9,42.3,38,55.6,47,0,496
,2022 Hyundai Elantra N Line,27699,Sedan,5,Gasoline,201,7.6,FWD,0,402,38.9,42.3,38,55.6,47,0,619
,2021 Hyundai Elantra Sedan,17899,Sedan,5,Gasoline,147,7.8,FWD,0,402,40.6,42.3,38,55.6,47,0,599
,2021 Hyundai IONIQ 5 Electric,44999,SUV,5,Electric,168,,RWD,1250,770,41.2,44.8,39.4,57.9,0,58.2,354
,2022 Hyundai IONIQ Hybrid,25649,Hatchback,5,Hybrid,139,4,FWD,0,750,39.2,42.2,35.7,55,45,1.6,1138
,2022 Hyundai IONIQ Plug-In Hybrid,32649,Hatchback,5,Hybrid,164,2,FWD,0,650,39.2,42.2,35.7,55,43,8.9,954
,2022 Hyundai KONA electric,43899,SUV,5,Electric,201,2,FWD,1000,544,39.6,41.5,33.4,54.5,0,64,415
,2022 Hyundai Kona N,39999,SUV,5,Gasoline,286,10.4,FWD,1100,544,39.6,41.5,35.2,54.5,50,0,481
,2021 Hyundai Nexo,71000,SUV,5,Hydrogen,160,3.8,FWD,1200,839,39.4,41.5,38.6,55.5,157,1.6,612
,2022 Hyundai Santa Cruz,38499,Pickup,5,Gasoline,281,10.5,AWD,5000,0,40.2,41.4,36.5,56.1,67,0,636
,2022 Hyundai Sonata Hybrid,40649,Sedan,5,Hybrid,192,5,FWD,0,453,38.4,46.1,34.8,56.1,50,1.6,1000
,2022 Hyundai Veloster N,37899,Hatchback,4,Gasoline,275,9.6,FWD,0,565,38.1,42.6,34.1,54.3,50,0,522
,Infiniti Q50,44295,Sedan,5,Gasoline,300,10.8,AWD,0,382,40.2,44.5,35.1,56.1,76,0,704
,Infiniti Q60 Coupe,51095,Coupe,4,Gasoline,300,10.6,AWD,0,246,37.4,43.1,32.4,52,76,0,712
,2022 Infiniti QX50,47995,SUV,5,Gasoline,268,9.7,AWD,1100,889,41,39.6,38.7,56.7,60,0,620
,2022 Infiniti QX55,51995,SUV,5,Gasoline,268,9.5,AWD,1100,761,39.9,39.6,38.7,57.1,61,0,636
,2022 Infiniti QX60,54995,SUV,7,Gasoline,295,10.8,AWD,3500,411,41,44.3,35.7,59.6,74,0,683
,2022 Infiniti QX80,81695,SUV,7,Gasoline,400,15.1,AWD,8500,470,39.9,39.6,41.0,63.5,98,0,649
,2022 Jaguar E-Pace,52500,SUV,5,Gasoline,246,10.4,AWD,4000,685,38.4,40.6,34.3,55.8,67,0,644
,2022 Jaguar F-Pace,61600,SUV,5,Gasoline,247,9.9,AWD,5300,892,37.8,40.3,37.2,55.3,83,0,838
,2022 Jaguar F-TYPE,85500,Coupe,2,Gasoline,444,9.2,RWD,0,509,36.8,42.8,0,0,63,0,685
,2022 Jaguar I-PACE,99800,SUV,5,Electric,394,3.1,AWD,1100,716,39.9,40.9,35,54.6,0,90,377
