,Name,Base_price,Body_style,Seats,Base_Engine,Base_Power,Mileage,Drive,Towing,Min_cargo_L,Front_headroom,Front_legroom,Rear_legroom,Rear_shoulder,Fuel_capacity,Batt,Range
120,2022 Ferrari 812 Competizione,525000,3,2,1,818.0,20.2,3,0.0,300.0,39.89795396419440,41.87605263157890,0.0,0.0,92.0,0.0,455.0
121,2021 Ferrari 812 GTS,469318,7,2,1,789.0,20.5,3,0.0,250.0,39.89795396419440,41.87605263157890,0.0,0.0,92.0,0.0,448.0
122,2021 Ferrari 812 Superfast,452523,3,2,1,789.0,20.2,3,0.0,300.0,39.89795396419440,41.87605263157890,0.0,0.0,92.0,0.0,455.0
123,2021 Ferrari F8 Tributo,322562,3,2,1,710.0,16.5,3,0.0,200.0,39.89795396419440,41.87605263157890,0.0,0.0,78.0,0.0,474.0
124,2021 Ferrari F8 Tributo Spider,356989,7,2,1,710.0,16.7,3,0.0,200.0,39.89795396419440,41.87605263157890,0.0,0.0,78.0,0.0,468.0
125,2021 Ferrari Portofino,264670,7,4,1,612.0,14.4,3,0.0,292.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,80.0,0.0,556.0
126,2021 Ferrari Roma,251665,3,4,1,612.0,14.2,3,0.0,387.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,80.0,0.0,565.0
127,2022 Ferrari SF90,599341,3,2,2,986.0,1.4,4,0.0,0.0,39.89795396419440,41.87605263157890,0.0,0.0,68.0,7.9,25.0
128,2022 Fiat 500X,32495,1,5,1,177.0,9.1,1,2000.0,400.0,39.1,41.5,34.8,52.8,48.0,0.0,531.0
129,2022 Ford F-150,34745,5,3,1,290.0,11.0,3,14000.0,0.0,40.8,43.9,0.0,0.0,87.0,0.0,790.0
130,2022 Ford Escape,29099,1,5,1,180.0,7.8,2,0.0,953.0,40.0,40.7,38.8,56.0,56.0,0.0,718.0
131,2022 Ford Explorer,46199,1,6,1,350.0,10.3,1,5300.0,515.0,40.7,43.0,39.0,61.9,73.0,0.0,709.0
132,2022 Ford Transit,52140,6,12,1,275.0,11.75257731958760,3,4700.0,1985.0,40.8,41.3,33.7,71.4,95.0,0.0,642.4584382871540
133,2022 Ford Ranger,33320,5,4,1,270.0,10.9,4,7500.0,0.0,41.0,43.1,30.4,55.2,68.0,0.0,625.0
134,2022 Ford Edge,37279,1,5,1,250.0,10.1,1,3500.0,1110.0,40.2,42.6,40.6,60.5,70.0,0.0,693.0
135,2022 Ford Bronco Sport,32999,1,5,1,181.0,8.9,4,0.0,920.0,41.5,42.4,36.9,55.6,61.0,0.0,685.0
136,2021 Ford Expedition,64340,1,8,1,380.0,12.6,1,9200.0,593.0,42.0,43.9,42.6,64.8,88.0,0.0,700.0
137,2022 Ford Mustang,32145,3,4,1,310.0,9.5,3,0.0,382.0,37.6,44.5,29.0,52.2,59.0,0.0,618.0
138,2022 Ford Mustang Mach-E,51495,1,5,3,266.0,2.4,3,0.0,840.0,38.9,41.7,38.1,55.9,0.0,75.7,370.0
139,2022 Ford Bronco 2-door,41299,1,4,1,275.0,11.75257731958760,4,3500.0,0.0,39.89795396419440,41.87605263157890,32.76197916666670,50.65138539042820,64.85314685314690,6.424532710280370,642.4584382871540
140,2022 Ford EcoSport,25599,1,5,1,166.0,9.2,1,2000.0,592.0,39.6,42.9,36.7,51.3,51.0,0.0,559.0
141,2021 Ford Expedition MAX,80815,1,8,1,400.0,13.1,1,9000.0,1019.0,42.0,43.9,42.6,64.8,105.0,0.0,802.0
142,2022 Ford F-150 Lightning,68000,5,5,3,426.0,2.0,4,7500.0,0.0,40.8,43.9,43.6,66.0,0.0,98.0,370.0
143,2022 Ford F-250 Super Duty,45619,5,3,1,385.0,11.75257731958760,3,14000.0,328.0,40.8,43.9,0.0,0.0,130.0,0.0,642.4584382871540
144,2022 Ford F-350 Super Duty,48249,5,3,1,385.0,11.75257731958760,3,21200.0,328.0,40.8,43.9,0.0,0.0,130.0,0.0,642.4584382871540
145,2022 Ford Maverick,25900,5,5,2,191.0,6.3,2,2000.0,0.0,40.3,42.8,35.9,55.6,56.0,1.1,892.0
146,2022 Ford Transit Connect Van,32035,6,2,1,162.0,9.9,2,2000.0,3608.0,46.9,41.5,0.0,0.0,60.0,0.0,604.0
147,2022 Ford Transit Connect Wagon,34615,6,6,1,162.0,10.2,2,2000.0,463.0,46.9,42.3,37.6,58.5,60.0,0.0,585.0
